tenant_n,wd_event_date,submissions
essentiahealth,2026-03-18,1
europcar,2026-03-18,12
europcar,2026-04-16,1
everestre,2026-03-18,1
evonik,2026-03-18,11
evonik,2026-04-16,7
exactsciences,2026-03-18,2
exactsciences,2026-04-16,2
fca,2026-04-16,1
fei,2026-04-16,1
fenwick,2026-03-18,21
fenwick,2026-04-16,19
ffive,2026-04-16,3
fhlbc,2026-03-18,4
fil,2026-03-18,3
fil,2026-04-16,6
finastra,2026-03-18,6
finning,2026-04-16,2
firstam,2026-03-18,1
firstam,2026-04-16,1
firstcentral,2026-03-18,1
fis,2026-04-16,11
fiserv,2026-04-16,2
flcancer,2026-03-18,2
flir,2026-03-18,2
flir,2026-04-16,3
flutterbe,2026-03-18,1
fmr,2026-03-18,4
fmr,2026-04-16,8
formulaone,2026-04-16,1
fox,2026-04-16,2
franklintempleton,2026-03-18,2
franklintempleton,2026-04-16,1
freddiemac,2026-04-16,1
freseniusglobal,2026-03-18,3
freseniusglobal,2026-04-16,1
freseniusmedicalcare,2026-03-18,2
freseniusmedicalcare,2026-04-16,3
freshfields,2026-04-16,2
fwd,2026-03-18,1
gamrentals,2026-03-18,2
gdit,2026-03-18,3
gdit,2026-04-16,2
geaerospace,2026-04-16,1
gehc,2026-04-16,1
geisinger,2026-03-18,5
geisinger,2026-04-16,1
gellerco,2026-04-16,1
genmab,2026-03-18,5
genmab,2026-04-16,3
gevernova,2026-03-18,2
ghr,2026-04-16,1
gilead,2026-03-18,4
gilead,2026-04-16,1
glencorecorp,2026-03-18,1
glencorecorp,2026-04-16,1
globusmedical,2026-03-18,3
gnw,2026-03-18,1
gnw,2026-04-16,3
goldbeck,2026-03-18,30
goldbeck,2026-04-16,22
goldentree,2026-03-18,1
golubcapital,2026-03-18,5
golubcapital,2026-04-16,1
graco,2026-04-16,1
gresearch,2026-03-18,1
greystar,2026-04-16,1
grosvenor,2026-03-18,1
gsk,2026-03-18,1
gsknch,2026-04-16,3
gtlaw,2026-03-18,20
gtlaw,2026-04-16,8
gtsgbu,2026-03-18,1
guardianlife,2026-03-18,1
guardianlife,2026-04-16,5
guggenheim,2026-03-18,1
guggenheiminvestment,2026-03-18,2
guidehouse,2026-03-18,1
guidehouse,2026-04-16,8
guidestone,2026-03-18,1
gunder,2026-04-16,1
hamilton,2026-03-18,2
harbourvest,2026-03-18,3
harbourvest,2026-04-16,1
hargreaveslansdown,2026-03-18,2
harman,2026-03-18,10
harriscomputer,2026-03-18,2
harriscomputer,2026-04-16,1
hastingsdirect,2026-03-18,1
hcahealthcare,2026-04-16,1
healthcare,2026-04-16,1
healthfirst,2026-04-16,1
hedgeserv,2026-04-16,2
heijmans,2026-03-18,6
heijmans,2026-04-16,2
herbertsmithfreehills,2026-03-18,7
herbertsmithfreehills,2026-04-16,5
hhmi,2026-03-18,3
hhmi,2026-04-16,4
hitachi,2026-03-18,13
hitachi,2026-04-16,7
hkex,2026-04-16,1
hl,2026-04-16,3
hoganlovells,2026-03-18,2
hoganlovells,2026-04-16,1
hoopp,2026-04-16,2
hpe,2026-03-18,9
hpe,2026-04-16,1
htsc,2026-03-18,1
htsc,2026-04-16,4
hub24management,2026-04-16,1
huron,2026-03-18,1
hyperiongrp,2026-03-18,9
hyperiongrp,2026-04-16,2
ia,2026-03-18,2
iaggbs,2026-03-18,1
iaggbs,2026-04-16,1
icf,2026-04-16,2
icg,2026-03-18,2
icon,2026-03-18,1
icon,2026-04-16,3
ideayabio,2026-03-18,2
ig,2026-03-18,1
ig,2026-04-16,1
illumina,2026-04-16,1
ing,2026-03-18,9
ing,2026-04-16,1
insmed,2026-03-18,2
insulet,2026-03-18,2
insulet,2026-04-16,1
ipsen,2026-03-18,1
ipsen,2026-04-16,1
iqvia,2026-03-18,1
iqvia,2026-04-16,3
irobot,2026-03-18,1
jabil,2026-03-18,1
jabil,2026-04-16,6
jainglobal,2026-03-18,1
jci,2026-04-16,3
jd,2026-03-18,1
jj,2026-03-18,3
jj,2026-04-16,8
jll,2026-03-18,6
jll,2026-04-16,2
juliusbaer,2026-04-16,2
just,2026-03-18,1
kainos,2026-03-18,5
kansashealthsystem,2026-03-18,1
kansashealthsystem,2026-04-16,10
kar,2026-03-18,1
kardex,2026-03-18,1
kbr,2026-03-18,1
kbr,2026-04-16,2
kcura,2026-03-18,1
kenvue,2026-03-18,1
kering,2026-04-16,3
kimcorealty,2026-04-16,5
kiongroup,2026-03-18,12
kiongroup,2026-04-16,11
kla,2026-04-16,2
kwm,2026-04-16,2
kyndryl,2026-03-18,2
kyndryl,2026-04-16,2
lbg,2026-03-18,3
lbg,2026-04-16,4
leidos,2026-04-16,2
leonardocompany,2026-03-18,1
leonardocompany,2026-04-16,1
levistraussandco,2026-04-16,1
lgt,2026-04-16,1
lgtcp,2026-04-16,1
liantis,2026-03-18,2
liantis,2026-04-16,3
lilly,2026-03-18,14
lilly,2026-04-16,5
lindtspruengli,2026-04-16,3
linklaters,2026-03-18,1
linklaters,2026-04-16,3
littelfuse,2026-03-18,1
livenation,2026-03-18,2
livenation,2026-04-16,2
lloyds,2026-04-16,2
logitech,2026-03-18,1
logitech,2026-04-16,2
lonza,2026-03-18,1
lonza,2026-04-16,3
madrigalpharma,2026-04-16,1
magna,2026-03-18,3
mango,2026-03-18,30
mango,2026-04-16,21
manulife,2026-03-18,4
manulife,2026-04-16,6
markelcorp,2026-03-18,12
markelcorp,2026-04-16,5
marketplaces,2026-03-18,1
marshall,2026-03-18,2
masco,2026-03-18,5
masco,2026-04-16,1
massgeneralbrigham,2026-04-16,2
mbda,2026-03-18,2
mbda,2026-04-16,6
medivet,2026-04-16,1
medtronic,2026-03-18,5
medtronic,2026-04-16,9
melittagroup,2026-03-18,1
metabo,2026-04-16,1
methode,2026-03-18,1
mgpru,2026-03-18,4
mgpru,2026-04-16,3
microchiphr,2026-03-18,2
microchiphr,2026-04-16,1
micron,2026-03-18,23
micron,2026-04-16,39
mizuho,2026-04-16,7
mksinst,2026-03-18,1
mksinst,2026-04-16,2
mlp,2026-03-18,3
mlp,2026-04-16,3
mmc,2026-03-18,4
modernatx,2026-04-16,1
moelis,2026-03-18,3
moelis,2026-04-16,3
montefiore,2026-03-18,1
moog,2026-03-18,5
moog,2026-04-16,3
morganlewis,2026-04-16,1
morningstar,2026-03-18,1
morningstar,2026-04-16,1
mourant,2026-03-18,4
mourant,2026-04-16,2
mpc,2026-04-16,1
ms,2026-03-18,5
ms,2026-04-16,7
msd,2026-03-18,1
mufgub,2026-03-18,7
multicare,2026-03-18,3
multicare,2026-04-16,1
mydentist,2026-03-18,2
mydentist,2026-04-16,2
mymoose,2026-04-16,1
myview,2026-04-16,1
nab,2026-04-16,1
nandos,2026-03-18,1
nandos,2026-04-16,4
nb,2026-03-18,2
nb,2026-04-16,5
nclh,2026-03-18,3
nclh,2026-04-16,1
ncr,2026-04-16,1
nebraskamed,2026-03-18,7
nebraskamed,2026-04-16,6
nelnet,2026-04-16,2
nghs,2026-03-18,1
nib,2026-03-18,4
nngroup,2026-03-18,1
nngroup,2026-04-16,1
northmark,2026-04-16,1
novartis,2026-04-16,1
novozymes,2026-03-18,2
nrf,2026-03-18,2
nrf,2026-04-16,3
ntrs,2026-03-18,2
nutraceutical,2026-04-16,1
oaktree,2026-03-18,1
oaktree,2026-04-16,7
ocbc,2026-03-18,6
ocbc,2026-04-16,2
oclc,2026-04-16,1
omers,2026-04-16,1
omnionpower,2026-04-16,2
onedigital,2026-03-18,10
onedigital,2026-04-16,5
oneoncology,2026-03-18,2
oneoncology,2026-04-16,1
onetp,2026-03-18,2
ontic,2026-04-16,5
organon,2026-03-18,1
orthoclinical,2026-04-16,1
oshkoshcorporation,2026-04-16,2
osv_cci,2026-04-16,1
otis,2026-03-18,3
outsystems,2026-03-18,1
outsystems,2026-04-16,1
pacificlife,2026-04-16,1
pag,2026-03-18,1
paloaltonetworks,2026-03-18,1
paloaltonetworks,2026-04-16,2
paulhastings,2026-03-18,3
paypal,2026-03-18,1
pbk,2026-04-16,1
peopleservices,2026-04-16,4
perkinscoie,2026-03-18,6
pernodricard,2026-03-18,3
perpetual,2026-03-18,1
perpetual,2026-04-16,1
pewtrusts,2026-03-18,1
phcgroup,2026-04-16,1
philips,2026-04-16,1
plexus,2026-03-18,1
pluralsight,2026-04-16,2
powerdesigninc,2026-03-18,3
powerdesigninc,2026-04-16,8
ppg,2026-03-18,1
pretiumenterpriseservices,2026-03-18,1
pretiumenterpriseservices,2026-04-16,1
prologis,2026-04-16,2
proofpoint,2026-04-16,2
propharmagroup,2026-04-16,1
prudential,2026-03-18,2
prudential,2026-04-16,4
prysmiangroup,2026-04-16,1
pwc,2026-03-18,28
pwc,2026-04-16,37
qbe,2026-03-18,3
qbe,2026-04-16,1
qtsdatacenters,2026-03-18,2
qtsdatacenters,2026-04-16,1
qualcomm,2026-03-18,2
qualcomm,2026-04-16,4
quantiphi,2026-04-16,2
quilter,2026-04-16,1
qvc,2026-03-18,1
r1rcm,2026-04-16,3
racetrac,2026-03-18,1
railpen,2026-03-18,1
rakuten,2026-03-18,10
rakuten,2026-04-16,90
rb,2026-04-16,1
rbc,2026-03-18,5
rbc,2026-04-16,1
rbnz,2026-03-18,1
rbs,2026-04-16,1
recar,2026-03-18,3
recar,2026-04-16,1
recoveryfocus,2026-03-18,1
regeneron,2026-03-18,6
regeneron,2026-04-16,8
relx,2026-03-18,3
